     
        Date       Modified Julian Day
     (y mm dd)  (days since 1st Jan 1950)
 ______________________________________________
       10717       15172
       10718       15173
       10719       15174
       10720       15175
       10721       15176
       10722       15177
       10723       15178
       10724       15179
       10725       15180
       10726       15181
       10727       15182
       10728       15183
       10729       15184
       10730       15185
       10731       15186
       10801       15187
       10802       15188
       10803       15189
       10804       15190
       10805       15191
       10806       15192
       10807       15193
       10808       15194
       10809       15195
       10810       15196
       10811       15197
       10812       15198
       10813       15199
       10814       15200
       10815       15201
       10816       15202
       10817       15203
       10818       15204
       10819       15205
       10820       15206
       10821       15207
       10822       15208
       10823       15209
       10824       15210
       10825       15211
       10826       15212
       10827       15213
       10828       15214
       10829       15215
       10830       15216
       10831       15217
       10901       15218
       10902       15219
       10903       15220
       10904       15221
       10905       15222
       10906       15223
       10907       15224
       10908       15225
       10909       15226
       10910       15227
       10911       15228
       10912       15229
       10913       15230
       10914       15231
       10915       15232
       10916       15233
       10917       15234
       10918       15235
       10919       15236
       10920       15237
       10921       15238
       10922       15239
       10923       15240
       10924       15241
       10925       15242
       10926       15243
       10927       15244
       10928       15245
       10929       15246
       10930       15247
       11001       15248
       11002       15249
       11003       15250
       11004       15251
       11005       15252
       11006       15253
       11007       15254
       11008       15255
       11009       15256
       11010       15257
       11011       15258
       11012       15259
       11013       15260
       11014       15261
       11015       15262
       11016       15263
       11017       15264
       11018       15265
       11019       15266
       11020       15267
       11021       15268
       11022       15269
       11023       15270
       11024       15271
       11025       15272
       11026       15273
       11027       15274
       11028       15275
       11029       15276
       11030       15277
       11031       15278
       11101       15279
       11102       15280
       11103       15281
       11104       15282
       11105       15283
       11106       15284
       11107       15285
       11108       15286
       11109       15287
       11110       15288
       11111       15289
       11112       15290
       11113       15291
       11114       15292
       11115       15293
       11116       15294
       11117       15295
       11118       15296
       11119       15297
       11120       15298
       11121       15299
       11122       15300
       11123       15301
       11124       15302
       11125       15303
       11126       15304
       11127       15305
       11128       15306
       11129       15307
       11130       15308
       11201       15309
       11202       15310
       11203       15311
       11204       15312
       11205       15313
       11206       15314
       11207       15315
       11208       15316
       11209       15317
       11210       15318
       11211       15319
       11212       15320
       11213       15321
       11214       15322
       11215       15323
       11216       15324
       11217       15325
       11218       15326
       11219       15327
       11220       15328
       11221       15329
       11222       15330
       11223       15331
       11224       15332
       11225       15333
       11226       15334
       11227       15335
       11228       15336
       11229       15337
       11230       15338
       11231       15339
       20101       15340
       20102       15341
       20103       15342
       20104       15343
       20105       15344
       20106       15345
       20107       15346
       20108       15347
       20109       15348
       20110       15349
       20111       15350
       20112       15351
       20113       15352
       20114       15353
       20115       15354
       20116       15355
       20117       15356
       20118       15357
       20119       15358
       20120       15359
       20121       15360
       20122       15361
       20123       15362
       20124       15363
       20125       15364
       20126       15365
       20127       15366
       20128       15367
       20129       15368
       20130       15369
       20131       15370
       20201       15371
       20202       15372
       20203       15373
       20204       15374
       20205       15375
       20206       15376
       20207       15377
       20208       15378
       20209       15379
       20210       15380
       20211       15381
       20212       15382
       20213       15383
       20214       15384
       20215       15385
       20216       15386
       20217       15387
       20218       15388
       20219       15389
       20220       15390
       20221       15391
       20222       15392
       20223       15393
       20224       15394
       20225       15395
       20226       15396
       20227       15397
       20228       15398
       20229       15399
       20301       15400
       20302       15401
       20303       15402
       20304       15403
       20305       15404
       20306       15405
       20307       15406
       20308       15407
       20309       15408
       20310       15409
       20311       15410
       20312       15411
       20313       15412
       20314       15413
       20315       15414
       20316       15415
       20317       15416
       20318       15417
       20319       15418
       20320       15419
       20321       15420
       20322       15421
       20323       15422
       20324       15423
       20325       15424
       20326       15425
       20327       15426
       20328       15427
       20329       15428
       20330       15429
       20331       15430
       20401       15431
       20402       15432
       20403       15433
       20404       15434
       20405       15435
       20406       15436
       20407       15437
       20408       15438
       20409       15439
       20410       15440
       20411       15441
       20412       15442
       20413       15443
       20414       15444
       20415       15445
       20416       15446
       20417       15447
       20418       15448
       20419       15449
       20420       15450
       20421       15451
       20422       15452
       20423       15453
       20424       15454
       20425       15455
       20426       15456
       20427       15457
       20428       15458
       20429       15459
       20430       15460
       20501       15461
       20502       15462
       20503       15463
       20504       15464
       20505       15465
       20506       15466
       20507       15467
       20508       15468
       20509       15469
       20510       15470
       20511       15471
       20512       15472
       20513       15473
       20514       15474
       20515       15475
       20516       15476
       20517       15477
       20518       15478
       20519       15479
       20520       15480
       20521       15481
       20522       15482
       20523       15483
       20524       15484
       20525       15485
       20526       15486
       20527       15487
       20528       15488
       20529       15489
       20530       15490
       20531       15491
       20601       15492
       20602       15493
       20603       15494
       20604       15495
       20605       15496
       20606       15497
       20607       15498
       20608       15499
       20609       15500
       20610       15501
       20611       15502
       20612       15503
       20613       15504
       20614       15505
       20615       15506
       20616       15507
       20617       15508
       20618       15509
       20619       15510
       20620       15511
       20621       15512
       20622       15513
       20623       15514
       20624       15515
       20625       15516
       20626       15517
       20627       15518
       20628       15519
       20629       15520
       20630       15521
       20701       15522
       20702       15523
       20703       15524
       20704       15525
       20705       15526
       20706       15527
       20707       15528
       20708       15529
       20709       15530
       20710       15531
       20711       15532
       20712       15533
       20713       15534
       20714       15535
       20715       15536
       20716       15537
       20717       15538
       20718       15539
       20719       15540
       20720       15541
       20721       15542
       20722       15543
       20723       15544
       20724       15545
       20725       15546
       20726       15547
       20727       15548
       20728       15549
       20729       15550
       20730       15551
       20731       15552
       20801       15553
       20802       15554
       20803       15555
       20804       15556
       20805       15557
       20806       15558
       20807       15559
       20808       15560
       20809       15561
       20810       15562
       20811       15563
       20812       15564
       20813       15565
       20814       15566
       20815       15567
       20816       15568
       20817       15569
       20818       15570
       20819       15571
       20820       15572
       20821       15573
       20822       15574
       20823       15575
       20824       15576
       20825       15577
       20826       15578
       20827       15579
       20828       15580
       20829       15581
       20830       15582
       20831       15583
       20901       15584
       20902       15585
       20903       15586
       20904       15587
       20905       15588
       20906       15589
       20907       15590
       20908       15591
       20909       15592
       20910       15593
       20911       15594
       20912       15595
       20913       15596
       20914       15597
       20915       15598
       20916       15599
       20917       15600
       20918       15601
       20919       15602
       20920       15603
       20921       15604
       20922       15605
       20923       15606
       20924       15607
       20925       15608
       20926       15609
       20927       15610
       20928       15611
       20929       15612
       20930       15613
       21001       15614
       21002       15615
       21003       15616
       21004       15617
       21005       15618
       21006       15619
       21007       15620
       21008       15621
       21009       15622
       21010       15623
       21011       15624
       21012       15625
       21013       15626
       21014       15627
       21015       15628
       21016       15629
       21017       15630
       21018       15631
       21019       15632
       21020       15633
       21021       15634
       21022       15635
       21023       15636
       21024       15637
       21025       15638
       21026       15639
       21027       15640
       21028       15641
       21029       15642
       21030       15643
       21031       15644
       21101       15645
       21102       15646
       21103       15647
       21104       15648
       21105       15649
       21106       15650
       21107       15651
       21108       15652
       21109       15653
       21110       15654
       21111       15655
       21112       15656
       21113       15657
       21114       15658
       21115       15659
       21116       15660
       21117       15661
       21118       15662
       21119       15663
       21120       15664
       21121       15665
       21122       15666
       21123       15667
       21124       15668
       21125       15669
       21126       15670
       21127       15671
       21128       15672
       21129       15673
       21130       15674
       21201       15675
       21202       15676
       21203       15677
       21204       15678
       21205       15679
       21206       15680
       21207       15681
       21208       15682
       21209       15683
       21210       15684
       21211       15685
       21212       15686
       21213       15687
       21214       15688
       21215       15689
       21216       15690
       21217       15691
       21218       15692
       21219       15693
       21220       15694
       21221       15695
       21222       15696
       21223       15697
       21224       15698
       21225       15699
       21226       15700
       21227       15701
       21228       15702
       21229       15703
       21230       15704
       21231       15705
       30101       15706
       30102       15707
       30103       15708
       30104       15709
       30105       15710
       30106       15711
       30107       15712
       30108       15713
       30109       15714
       30110       15715
       30111       15716
       30112       15717
       30113       15718
       30114       15719
       30115       15720
       30116       15721
       30117       15722
       30118       15723
       30119       15724
       30120       15725
       30121       15726
       30122       15727
       30123       15728
       30124       15729
       30125       15730
       30126       15731
       30127       15732
       30128       15733
       30129       15734
       30130       15735
       30131       15736
       30201       15737
       30202       15738
       30203       15739
       30204       15740
       30205       15741
       30206       15742
       30207       15743
       30208       15744
       30209       15745
       30210       15746
       30211       15747
       30212       15748
       30213       15749
       30214       15750
       30215       15751
       30216       15752
       30217       15753
       30218       15754
       30219       15755
       30220       15756
       30221       15757
       30222       15758
       30223       15759
       30224       15760
       30225       15761
       30226       15762
       30227       15763
       30228       15764
       30301       15765
       30302       15766
       30303       15767
       30304       15768
       30305       15769
       30306       15770
       30307       15771
       30308       15772
       30309       15773
       30310       15774
       30311       15775
       30312       15776
       30313       15777
       30314       15778
       30315       15779
       30316       15780
       30317       15781
       30318       15782
       30319       15783
       30320       15784
       30321       15785
       30322       15786
       30323       15787
       30324       15788
       30325       15789
       30326       15790
       30327       15791
       30328       15792
       30329       15793
       30330       15794
       30331       15795
       30401       15796
       30402       15797
       30403       15798
       30404       15799
       30405       15800
       30406       15801
       30407       15802
       30408       15803
       30409       15804
       30410       15805
       30411       15806
       30412       15807
       30413       15808
       30414       15809
       30415       15810
       30416       15811
       30417       15812
       30418       15813
       30419       15814
       30420       15815
       30421       15816
       30422       15817
       30423       15818
       30424       15819
       30425       15820
       30426       15821
       30427       15822
       30428       15823
       30429       15824
       30430       15825
       30501       15826
       30502       15827
       30503       15828
       30504       15829
       30505       15830
       30506       15831
       30507       15832
       30508       15833
       30509       15834
       30510       15835
       30511       15836
       30512       15837
       30513       15838
       30514       15839
       30515       15840
       30516       15841
       30517       15842
       30518       15843
       30519       15844
       30520       15845
       30521       15846
       30522       15847
       30523       15848
       30524       15849
       30525       15850
       30526       15851
       30527       15852
       30528       15853
       30529       15854
       30530       15855
       30531       15856
       30601       15857
       30602       15858
       30603       15859
       30604       15860
       30605       15861
       30606       15862
       30607       15863
       30608       15864
       30609       15865
       30610       15866
       30611       15867
       30612       15868
       30613       15869
       30614       15870
       30615       15871
       30616       15872
       30617       15873
       30618       15874
       30619       15875
       30620       15876
       30621       15877
       30622       15878
       30623       15879
       30624       15880
       30625       15881
       30626       15882
       30627       15883
       30628       15884
       30629       15885
       30630       15886
       30701       15887
       30702       15888
       30703       15889
       30704       15890
       30705       15891
       30706       15892
       30707       15893
       30708       15894
       30709       15895
       30710       15896
       30711       15897
       30712       15898
       30713       15899
       30714       15900
       30715       15901
       30716       15902
       30717       15903
       30718       15904
       30719       15905
       30720       15906
       30721       15907
       30722       15908
       30723       15909
       30724       15910
       30725       15911
       30726       15912
       30727       15913
       30728       15914
       30729       15915
       30730       15916
       30731       15917
       30801       15918
       30802       15919
       30803       15920
       30804       15921
       30805       15922
       30806       15923
       30807       15924
       30808       15925
       30809       15926
       30810       15927
       30811       15928
       30812       15929
       30813       15930
       30814       15931
       30815       15932
       30816       15933
       30817       15934
       30818       15935
       30819       15936
       30820       15937
       30821       15938
       30822       15939
       30823       15940
       30824       15941
       30825       15942
       30826       15943
       30827       15944
       30828       15945
       30829       15946
       30830       15947
       30831       15948
       30901       15949
       30902       15950
       30903       15951
       30904       15952
       30905       15953
       30906       15954
       30907       15955
       30908       15956
       30909       15957
       30910       15958
       30911       15959
       30912       15960
       30913       15961
       30914       15962
       30915       15963
       30916       15964
       30917       15965
       30918       15966
       30919       15967
       30920       15968
       30921       15969
       30922       15970
       30923       15971
       30924       15972
       30925       15973
       30926       15974
       30927       15975
       30928       15976
       30929       15977
       30930       15978
       31001       15979
       31002       15980
       31003       15981
       31004       15982
       31005       15983
       31006       15984
       31007       15985
       31008       15986
       31009       15987
       31010       15988
       31011       15989
       31012       15990
       31013       15991
       31014       15992
       31015       15993
       31016       15994
       31017       15995
       31018       15996
       31019       15997
       31020       15998
       31021       15999
       31022       16000
       31023       16001
       31024       16002
       31025       16003
       31026       16004
       31027       16005
       31028       16006
       31029       16007
       31030       16008
       31031       16009
       31101       16010
       31102       16011
       31103       16012
       31104       16013
       31105       16014
       31106       16015
       31107       16016
       31108       16017
       31109       16018
       31110       16019
       31111       16020
       31112       16021
       31113       16022
       31114       16023
       31115       16024
       31116       16025
       31117       16026
       31118       16027
       31119       16028
       31120       16029
       31121       16030
       31122       16031
       31123       16032
       31124       16033
       31125       16034
       31126       16035
       31127       16036
       31128       16037
       31129       16038
       31130       16039
       31201       16040
       31202       16041
       31203       16042
       31204       16043
       31205       16044
       31206       16045
       31207       16046
       31208       16047
       31209       16048
       31210       16049
       31211       16050
       31212       16051
       31213       16052
       31214       16053
       31215       16054
       31216       16055
       31217       16056
       31218       16057
       31219       16058
       31220       16059
       31221       16060
       31222       16061
       31223       16062
       31224       16063
       31225       16064
       31226       16065
       31227       16066
       31228       16067
       31229       16068
       31230       16069
       31231       16070
       40101       16071
       40102       16072
       40103       16073
       40104       16074
       40105       16075
       40106       16076
       40107       16077
       40108       16078
       40109       16079
       40110       16080
       40111       16081
       40112       16082
       40113       16083
       40114       16084
       40115       16085
       40116       16086
       40117       16087
       40118       16088
       40119       16089
       40120       16090
       40121       16091
       40122       16092
       40123       16093
       40124       16094
       40125       16095
       40126       16096
       40127       16097
       40128       16098
       40129       16099
       40130       16100
       40131       16101
       40201       16102
       40202       16103
       40203       16104
       40204       16105
       40205       16106
       40206       16107
       40207       16108
       40208       16109
       40209       16110
       40210       16111
       40211       16112
       40212       16113
       40213       16114
       40214       16115
       40215       16116
       40216       16117
       40217       16118
       40218       16119
       40219       16120
       40220       16121
       40221       16122
       40222       16123
       40223       16124
       40224       16125
       40225       16126
       40226       16127
       40227       16128
       40228       16129
       40301       16130
       40302       16131
       40303       16132
       40304       16133
       40305       16134
       40306       16135
       40307       16136
       40308       16137
       40309       16138
       40310       16139
       40311       16140
       40312       16141
       40313       16142
       40314       16143
       40315       16144
       40316       16145
       40317       16146
       40318       16147
       40319       16148
       40320       16149
       40321       16150
       40322       16151
       40323       16152
       40324       16153
       40325       16154
       40326       16155
       40327       16156
       40328       16157
       40329       16158
       40330       16159
       40331       16160
       40401       16161
       40402       16162
       40403       16163
       40404       16164
       40405       16165
       40406       16166
       40407       16167
       40408       16168
       40409       16169
       40410       16170
       40411       16171
       40412       16172
       40413       16173
       40414       16174
       40415       16175
       40416       16176
       40417       16177
       40418       16178
       40419       16179
       40420       16180
       40421       16181
       40422       16182
       40423       16183
       40424       16184
       40425       16185
       40426       16186
       40427       16187
       40428       16188
       40429       16189
       40430       16190
       40501       16191
       40502       16192
       40503       16193
       40504       16194
       40505       16195
       40506       16196
       40507       16197
       40508       16198
       40509       16199
       40510       16200
       40511       16201
       40512       16202
       40513       16203
       40514       16204
       40515       16205
       40516       16206
       40517       16207
       40518       16208
       40519       16209
       40520       16210
       40521       16211
       40522       16212
       40523       16213
       40524       16214
       40525       16215
       40526       16216
       40527       16217
       40528       16218
       40529       16219
       40530       16220
       40531       16221
       40601       16222
       40602       16223
       40603       16224
       40604       16225
       40605       16226
       40606       16227
       40607       16228
       40608       16229
       40609       16230
       40610       16231
       40611       16232
       40612       16233
       40613       16234
       40614       16235
       40615       16236
       40616       16237
       40617       16238
       40618       16239
       40619       16240
       40620       16241
       40621       16242
       40622       16243
       40623       16244
       40624       16245
       40625       16246
       40626       16247
       40627       16248
       40628       16249
       40629       16250
       40630       16251
       40701       16252
       40702       16253
       40703       16254
       40704       16255
       40705       16256
       40706       16257
       40707       16258
       40708       16259
       40709       16260
       40710       16261
       40711       16262
       40712       16263
       40713       16264
       40714       16265
